y/H,N,U/Uc,V/Uc,W/Uc
1.11E+00,6030,9.94E-01,-4.20E-04,-1.59E-02
1.12E+00,6058,9.93E-01,-3.03E-05,-1.63E-02
1.13E+00,6215,9.92E-01,-5.37E-04,-1.63E-02
1.14E+00,6270,9.89E-01,-8.18E-04,-1.53E-02
1.16E+00,6175,9.90E-01,9.56E-04,-1.58E-02
1.17E+00,6140,9.88E-01,-8.48E-04,-1.62E-02
1.18E+00,6033,9.85E-01,-8.43E-04,-1.66E-02
1.19E+00,6155,9.84E-01,-1.14E-03,-1.75E-02
1.21E+00,6408,9.81E-01,-1.03E-03,-1.74E-02
1.22E+00,6422,9.79E-01,7.23E-04,-1.74E-02
1.23E+00,6427,9.76E-01,-8.94E-04,-1.73E-02
1.24E+00,6318,9.77E-01,-3.29E-04,-1.74E-02
1.25E+00,6158,9.73E-01,1.22E-04,-1.64E-02
1.27E+00,6102,9.71E-01,-1.11E-03,-1.63E-02
1.28E+00,6457,9.67E-01,-1.48E-03,-1.65E-02
1.29E+00,6466,9.64E-01,-5.87E-04,-1.64E-02
1.30E+00,6381,9.61E-01,-1.02E-03,-1.60E-02
1.32E+00,6631,9.58E-01,-9.18E-04,-1.63E-02
1.33E+00,6552,9.56E-01,-1.61E-03,-1.64E-02
1.34E+00,6708,9.54E-01,-1.07E-03,-1.70E-02
1.35E+00,6748,9.50E-01,-1.23E-03,-1.55E-02
1.36E+00,6526,9.46E-01,-1.41E-03,-1.66E-02
1.38E+00,6624,9.46E-01,-9.63E-04,-1.57E-02
1.39E+00,6951,9.42E-01,-9.18E-04,-1.63E-02
1.40E+00,7019,9.40E-01,-8.58E-04,-1.76E-02
1.41E+00,7107,9.37E-01,-7.99E-04,-1.71E-02
1.43E+00,6976,9.34E-01,-1.03E-03,-1.76E-02
1.44E+00,7102,9.28E-01,-1.12E-03,-1.35E-02
1.45E+00,7044,9.28E-01,-7.32E-04,-1.68E-02
1.46E+00,6795,9.22E-01,-1.15E-03,-1.69E-02
1.48E+00,6968,9.20E-01,-1.91E-03,-1.69E-02
1.49E+00,6980,9.16E-01,-1.13E-03,-1.78E-02
1.50E+00,7100,9.12E-01,-4.68E-04,-1.51E-02
1.51E+00,7175,9.10E-01,1.75E-04,-1.69E-02
1.52E+00,7071,9.05E-01,-4.48E-04,-1.62E-02
1.54E+00,7193,9.00E-01,-1.54E-03,-1.78E-02
1.55E+00,7081,8.94E-01,-1.56E-03,-1.64E-02
1.56E+00,7260,8.92E-01,-4.01E-04,-1.99E-02
1.57E+00,7065,8.89E-01,-5.93E-04,-1.96E-02
1.59E+00,7261,8.84E-01,-1.20E-03,-1.65E-02
1.60E+00,7471,8.79E-01,-7.71E-04,-1.75E-02
1.61E+00,7160,8.74E-01,-2.15E-03,-1.56E-02
1.62E+00,7178,8.67E-01,-1.78E-03,-1.67E-02
1.63E+00,7682,8.62E-01,-2.05E-03,-2.03E-02
1.65E+00,7695,8.58E-01,-1.10E-03,-1.90E-02
1.66E+00,7713,8.56E-01,-1.23E-03,-1.86E-02
1.67E+00,7777,8.51E-01,3.93E-04,-1.70E-02
1.68E+00,7627,8.44E-01,-3.97E-04,-1.85E-02
1.70E+00,7694,8.36E-01,-4.84E-04,-1.83E-02
1.71E+00,7929,8.30E-01,-2.76E-04,-1.92E-02
1.72E+00,7782,8.27E-01,2.40E-04,-1.72E-02
1.73E+00,7660,8.19E-01,-2.67E-04,-1.75E-02
1.74E+00,7615,8.11E-01,-1.47E-03,-1.53E-02
1.76E+00,7695,8.07E-01,1.38E-04,-1.69E-02
1.77E+00,7641,7.98E-01,-1.41E-03,-1.69E-02
1.78E+00,7622,7.93E-01,-1.48E-03,-1.79E-02
1.79E+00,7702,7.85E-01,-8.30E-04,-1.66E-02
1.81E+00,7754,7.74E-01,-5.20E-04,-1.84E-02
1.82E+00,7844,7.67E-01,-1.14E-03,-1.68E-02
1.83E+00,8021,7.55E-01,-1.45E-03,-1.87E-02
1.84E+00,7728,7.48E-01,-5.03E-04,-2.00E-02
1.85E+00,7903,7.33E-01,-1.39E-03,-1.67E-02
1.87E+00,7836,7.15E-01,-1.38E-03,-1.45E-02
1.88E+00,7646,6.94E-01,-1.27E-03,-1.73E-02
1.89E+00,8020,6.69E-01,-1.24E-03,-1.53E-02
1.90E+00,7748,6.40E-01,-1.36E-03,-1.66E-02
1.92E+00,7979,6.01E-01,-9.96E-04,-1.55E-02
1.93E+00,7888,5.37E-01,-8.77E-04,-1.26E-02
1.94E+00,7801,4.48E-01,-8.96E-04,-1.19E-02
1.95E+00,8049,3.20E-01,-7.44E-04,-1.08E-02
1.96E+00,5155,2.09E-01,-3.38E-04,-7.45E-03
1.97E+00,105,2.16E-01,-1.49E-03,-1.40E-02

RMSU.DAT,,,,
y/H,N,u_rms/Uc,v_rms/Uc,w_rms/Uc
9.60E-03,378,2.49E-01,2.05E-02,3.07E-02
1.92E-02,3732,8.99E-02,1.42E-02,3.50E-02
3.07E-02,4885,1.22E-01,1.74E-02,4.57E-02
4.28E-02,4912,1.36E-01,2.29E-02,5.35E-02
5.52E-02,5227,1.46E-01,2.69E-02,5.61E-02
6.74E-02,5419,1.39E-01,3.23E-02,6.13E-02
7.96E-02,5347,1.32E-01,3.58E-02,6.20E-02
9.18E-02,5005,1.26E-01,3.99E-02,6.37E-02
1.04E-01,5099,1.21E-01,4.26E-02,6.31E-02
1.16E-01,5352,1.16E-01,4.38E-02,6.48E-02
1.29E-01,5298,1.08E-01,4.56E-02,6.66E-02
1.41E-01,5145,1.06E-01,4.74E-02,6.59E-02
1.53E-01,5050,1.04E-01,4.84E-02,6.43E-02
1.65E-01,5105,1.02E-01,4.99E-02,6.56E-02
1.78E-01,5119,9.73E-02,4.98E-02,6.54E-02
1.90E-01,5125,9.62E-02,5.14E-02,6.32E-02
2.02E-01,5255,9.38E-02,5.07E-02,6.22E-02
2.14E-01,5101,9.30E-02,5.09E-02,6.20E-02
2.26E-01,5139,9.27E-02,5.18E-02,6.15E-02
2.39E-01,5166,8.79E-02,5.07E-02,6.12E-02
2.51E-01,5227,8.85E-02,5.10E-02,6.28E-02
2.63E-01,5397,8.71E-02,5.02E-02,6.10E-02
2.75E-01,5327,8.73E-02,5.04E-02,6.04E-02
2.88E-01,5426,8.50E-02,4.98E-02,5.99E-02
3.00E-01,5425,8.17E-02,5.03E-02,5.96E-02
3.12E-01,5604,8.21E-02,5.15E-02,5.92E-02
3.24E-01,5460,7.99E-02,5.06E-02,5.93E-02
3.37E-01,5577,8.02E-02,4.95E-02,5.71E-02
3.49E-01,5669,8.01E-02,4.86E-02,5.70E-02
3.61E-01,5484,7.77E-02,4.99E-02,5.67E-02
3.73E-01,5456,7.47E-02,4.89E-02,5.69E-02
3.85E-01,5759,7.48E-02,4.80E-02,5.50E-02
3.98E-01,5522,7.51E-02,4.83E-02,5.57E-02
4.10E-01,5643,7.47E-02,4.86E-02,5.49E-02
4.22E-01,5666,7.48E-02,4.92E-02,5.26E-02
4.34E-01,5499,7.32E-02,4.78E-02,5.21E-02
4.47E-01,5687,7.31E-02,4.74E-02,5.25E-02
4.59E-01,5324,7.11E-02,4.86E-02,5.20E-02
4.71E-01,5447,6.84E-02,4.75E-02,5.19E-02
4.83E-01,5459,6.97E-02,4.61E-02,5.18E-02
4.96E-01,5481,6.89E-02,4.58E-02,5.22E-02
5.08E-01,5537,6.72E-02,4.61E-02,4.90E-02
5.20E-01,5395,6.70E-02,4.62E-02,4.91E-02
5.33E-01,5340,6.64E-02,4.61E-02,4.88E-02
5.45E-01,5403,6.72E-02,4.56E-02,4.87E-02
5.57E-01,5537,6.58E-02,4.43E-02,4.86E-02
5.69E-01,5692,6.48E-02,4.34E-02,4.88E-02
5.81E-01,5575,6.39E-02,4.35E-02,4.74E-02
5.94E-01,5732,6.33E-02,4.33E-02,4.82E-02
6.06E-01,5840,6.23E-02,4.32E-02,4.80E-02
6.18E-01,5696,6.07E-02,4.23E-02,4.67E-02
6.30E-01,5628,5.96E-02,4.30E-02,4.56E-02
6.43E-01,5740,5.97E-02,4.24E-02,4.53E-02
6.55E-01,5688,5.92E-02,4.17E-02,4.47E-02
6.67E-01,5380,5.92E-02,4.22E-02,4.50E-02
6.79E-01,5472,5.85E-02,4.13E-02,4.35E-02
6.92E-01,5827,5.97E-02,4.15E-02,4.32E-02
7.04E-01,5839,5.70E-02,4.08E-02,4.19E-02
7.16E-01,5808,5.66E-02,3.97E-02,4.18E-02
7.28E-01,5905,5.51E-02,4.00E-02,4.08E-02
